Immigration,,
,Marginal,
,,his,20
,,Trump,19
,,Muslim,18
,,Americans,15
,,U.S.,12
,Direct,
,,Trump,7
,,his,6
,,US,6
,,Donald Trump,4
,,President,4
,Peripheral,
Islamophobia,,
,Marginal,
,,Muslim,76
,,Muslims,71
,,Islam,58
,,Islamists,10
,,Sunni,9
,Direct,
,,Muslim,3
,,Muslims,2
,,Sunni,1
,,Kurdish,1
,Peripheral,
,,Islam,1
,,Lima-Taub,1
,,Muslims,1
Anti-semitism,,
,Marginal,
,,Jews,124
,,Jewish,93
,,Jew,40
,,politician,10
,,jew,9
,Direct,
,,Jewish,12
,,Jews,6
,,Israeli,2
,,Jew,2
,,Palestinians,2
,Peripheral,
Transphobia,,
,Marginal,
,,Californians,2
,,student,2
,,her,2
,,teacher,2
,,Warren,1
,Direct,
,Peripheral,
